class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9798121014183995,False,1.0
cable,1,0.9887556221889056,0.9749171203055707,False,1.0
capsule,2,0.9629038691663342,0.9869864444433867,False,1.0
carpet,3,0.992776886035313,0.9873629796174904,False,1.0
grid,4,0.9924812030075187,0.9745346408405575,False,1.0
hazelnut,5,0.9996428571428572,0.9859040911646876,False,1.0
leather,6,1.0,0.9898679079492293,False,1.0
metal_nut,7,1.0,0.9766476380058242,True,1.0
Average,,0.992070054692616,0.9820041154681433,,1.0
Task_0_Average,0,1.0,0.9798121014183995,,1.0
Task_1_Average,1,0.9887556221889056,0.9749171203055707,,1.0
Task_2_Average,2,0.9629038691663342,0.9869864444433867,,1.0
Task_3_Average,3,0.992776886035313,0.9873629796174904,,1.0
Task_4_Average,4,0.9924812030075187,0.9745346408405575,,1.0
Task_5_Average,5,0.9996428571428572,0.9859040911646876,,1.0
Task_6_Average,6,1.0,0.9898679079492293,,1.0
Task_7_Average,7,1.0,0.9766476380058242,,1.0
